Data,Apertura,Massimo,Minimo,Prezzo,Volume
20240729  22:00:00,2488.3,2488.3,2488.3,2488.3,0
20240730  15:30:00,2501.0,2502.3,2501.0,2502.3,2
20240730  16:00:00,2499.6,2501.3,2498.0,2499.5,8
20240730  17:00:00,2496.9,2496.9,2490.6,2491.5,5
20240730  18:00:00,2492.6,2506.6,2492.6,2506.6,14
20240730  19:00:00,2511.1,2517.2,2511.1,2515.2,15
20240730  20:00:00,2514.2,2514.2,2511.6,2511.9,4
20240730  21:00:00,2511.9,2511.9,2511.9,2511.9,0
20240730  22:00:00,2519.1,2520.7,2519.1,2519.7,6
20240731  15:30:00,2527.9,2530.9,2527.9,2530.9,9
20240731  16:00:00,2532.9,2534.6,2532.9,2534.4,5
20240731  17:00:00,2534.4,2534.4,2534.4,2534.4,0
20240731  18:00:00,2534.2,2535.0,2533.7,2533.9,5
20240731  19:00:00,2535.3,2536.7,2534.2,2535.7,6
20240731  20:00:00,2532.0,2541.8,2530.5,2541.8,5
20240731  21:00:00,2540.3,2556.6,2540.3,2556.6,13
20240731  22:00:00,2557.0,2557.0,2555.4,2555.8,5
20240801  15:30:00,2560.3,2562.7,2555.9,2558.9,22
20240801  16:00:00,2562.8,2568.3,2551.0,2553.7,41
20240801  17:00:00,2556.9,2557.9,2550.5,2552.8,23
20240801  18:00:00,2552.4,2553.6,2550.8,2553.5,21
20240801  19:00:00,2548.0,2548.0,2543.1,2543.1,7
20240801  20:00:00,2545.7,2545.7,2543.4,2545.1,21
20240801  21:00:00,2544.6,2549.2,2544.6,2549.2,10
20240801  22:00:00,2548.7,2548.7,2548.7,2548.7,1
20240802  15:30:00,2567.0,2567.0,2567.0,2567.0,0
20240802  16:00:00,2575.1,2575.1,2529.5,2531.6,37
20240802  17:00:00,2530.7,2535.6,2511.6,2532.0,33
20240802  18:00:00,2533.1,2538.1,2527.8,2531.0,95
20240802  19:00:00,2530.5,2530.8,2523.0,2526.3,31
20240802  20:00:00,2526.3,2526.3,2526.3,2526.3,0
20240802  21:00:00,2526.3,2526.3,2526.3,2526.3,0
20240802  22:00:00,2542.3,2542.3,2542.3,2542.3,1
20240805  15:30:00,2481.3,2486.8,2481.3,2484.8,20
20240805  16:00:00,2486.8,2488.1,2479.4,2479.4,30
20240805  17:00:00,2492.7,2505.0,2492.7,2500.3,30
20240805  18:00:00,2499.3,2500.6,2498.5,2499.8,42
20240805  19:00:00,2499.2,2501.8,2496.9,2498.7,49
20240805  20:00:00,2500.6,2504.7,2500.1,2500.2,25
20240805  21:00:00,2500.8,2504.8,2500.8,2504.8,16
20240805  22:00:00,2502.8,2502.8,2502.8,2502.8,1
20240806  15:30:00,2489.6,2489.6,2489.6,2489.6,0
20240806  16:00:00,2491.2,2491.2,2483.3,2483.3,2
20240806  17:00:00,2478.6,2481.6,2478.0,2481.6,10
20240806  18:00:00,2485.0,2485.8,2482.7,2485.8,51
20240806  19:00:00,2488.1,2488.1,2484.9,2487.2,15
20240806  20:00:00,2487.2,2487.2,2487.2,2487.2,0
20240806  21:00:00,2488.5,2488.5,2488.5,2488.5,1
20240806  22:00:00,2484.7,2484.7,2484.1,2484.1,6
20240807  15:30:00,2494.8,2494.8,2494.8,2494.8,2
20240807  16:00:00,2496.6,2496.6,2496.6,2496.6,2
20240807  17:00:00,2496.2,2496.2,2495.1,2495.1,3
20240807  18:00:00,2489.9,2495.5,2489.9,2495.5,17
20240807  19:00:00,2493.5,2493.8,2488.3,2489.4,19
20240807  20:00:00,2484.9,2485.8,2483.8,2485.8,17
20240807  21:00:00,2485.8,2485.8,2485.8,2485.8,0
20240807  22:00:00,2485.8,2485.8,2485.8,2485.8,0
20240808  15:30:00,2504.4,2510.7,2503.9,2508.1,17
20240808  16:00:00,2507.1,2519.6,2507.1,2516.2,18
20240808  17:00:00,2510.7,2510.8,2510.7,2510.8,6
20240808  18:00:00,2519.5,2519.5,2513.2,2513.3,5
